user_id,device_age_days,sim_swap_count_3m,avg_monthly_inflow,inflow_volatility,utility_bill_payment_ratio,airtime_topup_freq_pm,avg_airtime_topup_val,default_within_30_days
user_100073,369,1,10951.68,0.204,0.684,28,48.56,0
user_100074,121,0,18153.36,0.551,0.895,24,87.69,0
user_100075,396,0,22007.92,0.136,0.762,17,67.86,0
user_100076,985,0,25393.46,0.123,0.819,22,43.25,0
user_100077,484,1,3211.32,0.277,0.898,16,100.27,0
user_100078,457,0,26193.32,0.29,0.393,22,51.95,0
user_100079,538,0,31934.66,0.185,0.358,10,99.5,0
user_100080,805,2,2694.23,0.401,0.899,32,90.57,0
user_100081,972,0,2598.82,0.513,0.869,28,107.07,0
user_100082,64,0,14007.33,0.745,0.883,7,42.92,0
user_100083,235,0,12301.71,0.577,0.79,19,147.77,0
user_100084,110,0,60753.05,0.442,0.746,28,37.96,0
user_100085,961,0,7230.63,0.455,0.746,50,110.72,0
user_100086,591,2,15381.29,0.481,0.906,16,134.45,0
user_100087,901,0,12598.75,0.266,0.758,3,63.63,0
user_100088,417,0,13509.44,0.609,0.624,16,88.45,0
user_100089,31,0,18167.52,0.54,0.762,13,96.26,0
user_100090,419,0,13569.71,0.416,0.83,27,60.82,0
user_100091,595,0,2104.53,0.21,0.722,6,38.48,0
user_100092,135,0,29840.66,0.688,0.93,11,208.49,0
user_100093,801,0,5368.81,0.198,0.704,18,56.8,0
user_100094,851,1,5942.98,0.198,0.517,22,85.8,0
user_100095,506,0,17660.7,0.16,0.69,19,46.79,0
user_100096,732,0,11744.18,0.797,0.703,21,51.31,0
user_100097,431,0,14816.65,0.234,0.743,7,82.0,0
user_100098,759,0,12322.36,0.688,0.612,32,154.87,0
user_100099,585,1,10115.73,0.076,0.955,5,107.88,0
user_100100,191,0,11904.46,0.581,0.688,19,131.75,0
user_100101,231,0,4281.29,0.073,0.885,7,70.87,0
user_100102,987,0,54255.21,0.518,0.691,26,114.37,0
user_100103,299,0,14826.23,0.25,0.563,20,99.33,0
user_100104,892,0,7070.26,0.102,0.678,29,128.57,0
user_100105,845,0,20715.75,0.256,0.978,34,121.04,0
user_100106,300,0,33817.22,0.143,0.766,16,88.97,0
user_100107,485,0,7274.62,0.215,0.717,18,61.35,0
user_100108,491,0,7884.79,0.565,0.896,28,165.67,0
user_100109,756,0,10658.45,0.675,0.657,11,63.95,0
user_100110,281,0,5674.89,0.379,0.838,39,90.55,0
user_100111,731,0,26894.27,0.363,0.79,30,200.47,0
user_100112,325,0,15162.42,0.396,0.779,29,81.74,0
user_100113,754,0,2881.04,0.403,0.711,31,92.29,0
user_100114,749,0,87726.03,0.226,0.906,5,267.93,0
user_100115,778,0,14833.99,0.792,0.531,23,51.6,0
user_100116,367,0,35100.44,0.551,0.554,15,104.37,0
user_100117,908,2,12445.83,0.63,0.318,10,36.69,0
user_100118,82,1,15100.25,0.382,0.907,25,176.53,0
user_100119,821,0,11090.11,0.621,0.718,18,120.85,0
user_100120,951,0,10242.48,0.563,0.812,8,101.37,0
user_100121,246,0,5694.35,0.67,0.731,6,55.21,0
user_100122,793,0,51101.66,0.083,0.981,39,144.47,0
user_100123,217,0,5009.2,0.084,0.833,35,49.26,0
user_100124,409,0,13211.02,0.477,0.383,27,117.29,0
user_100125,522,0,3366.88,0.334,0.678,32,47.12,0
user_100126,70,1,77257.88,0.652,0.684,28,63.93,0
user_100127,186,1,14168.03,0.174,0.709,15,74.59,0
user_100128,44,0,27277.24,0.238,0.884,29,206.2,0
user_100129,842,0,14414.89,0.365,0.751,61,32.56,0
user_100130,94,0,26520.2,0.72,0.743,20,38.2,0
user_100131,886,0,13466.75,0.15,0.664,34,208.91,0
user_100132,868,0,10831.11,0.632,0.611,18,156.43,0
user_100133,550,0,11129.49,0.791,0.672,16,90.23,0
user_100134,373,0,2035.19,0.613,0.849,12,24.87,0
user_100135,158,0,8946.13,0.463,0.679,23,57.4,0
user_100136,677,0,47530.84,0.469,0.953,16,96.03,0
user_100137,501,1,18885.6,0.173,0.947,16,138.16,0
user_100138,92,0,39758.78,0.379,0.792,24,111.71,0
user_100139,168,0,5352.08,0.448,0.846,14,72.05,0
user_100140,528,0,12134.33,0.424,0.685,6,107.62,0
user_100141,622,0,2526.36,0.134,0.457,56,163.63,0
user_100142,421,1,18953.97,0.164,0.413,8,45.56,0
user_100143,704,0,24988.28,0.239,0.835,10,83.84,0
user_100144,448,0,22663.08,0.441,0.5,7,83.52,0
user_100145,318,0,3361.51,0.17,0.722,21,191.98,0
user_100146,408,1,6265.87,0.259,0.632,29,277.54,0
user_100147,802,0,17999.18,0.307,0.559,10,61.23,0
user_100148,519,0,23343.82,0.552,0.955,27,91.06,0
user_100149,260,0,6807.43,0.3,0.617,19,108.92,0
user_100150,70,0,9819.23,0.573,0.894,18,59.08,0
user_100151,57,0,8490.99,0.163,0.761,18,273.1,0
user_100152,164,0,2068.63,0.263,0.724,31,94.89,0
user_100153,230,0,14888.49,0.367,0.64,8,90.6,0
user_100154,869,0,18589.66,0.249,0.462,41,101.69,0
user_100155,809,0,6853.49,0.188,0.396,30,83.71,0
user_100156,959,1,19460.93,0.779,0.924,20,142.27,0
user_100157,62,0,6170.9,0.542,0.956,9,53.99,0
user_100158,77,0,20856.93,0.066,0.579,12,123.5,0
user_100159,532,0,11164.87,0.19,0.93,10,116.63,0
user_100160,436,0,32828.25,0.545,0.803,15,24.49,0
user_100161,603,0,13803.12,0.316,0.607,37,99.49,0
user_100162,757,0,5062.12,0.432,0.877,17,73.28,0
user_100163,834,1,27890.53,0.65,0.527,21,80.38,0
user_100164,128,0,24554.46,0.137,0.493,22,108.12,0
user_100165,713,0,3319.82,0.531,0.844,9,158.92,0
user_100166,901,0,2738.49,0.417,0.724,15,290.1,0
user_100167,755,0,4197.79,0.219,0.807,27,51.79,0
user_100168,576,0,29995.47,0.292,0.84,17,79.07,0
user_100169,990,0,7793.38,0.071,0.694,25,140.44,0
user_100170,768,0,12540.43,0.786,0.853,28,104.48,0
user_100171,642,1,15856.02,0.146,0.551,12,119.49,0
user_100172,972,0,22408.31,0.61,0.67,12,74.96,0
user_100173,491,0,28575.41,0.379,0.713,18,89.21,0
user_100174,672,2,12880.89,0.401,0.864,29,100.24,0
user_100175,798,0,10061.64,0.494,0.853,24,225.95,0
user_100176,34,1,5271.25,0.734,0.904,30,169.53,0
user_100177,247,0,16029.06,0.47,0.724,12,80.4,0
user_100178,532,0,13973.52,0.652,0.782,40,144.27,0
user_100179,796,0,7161.89,0.681,0.867,36,143.54,0
user_100180,427,0,10864.37,0.537,0.628,11,64.98,0
user_100181,900,0,22185.99,0.529,0.668,16,71.85,0
user_100182,824,0,16795.87,0.697,0.753,33,356.67,0
user_100183,422,0,11859.19,0.088,0.638,21,100.86,0
user_100184,236,1,6768.34,0.528,0.805,17,55.63,0
user_100185,44,0,18539.5,0.441,0.822,23,79.74,0
user_100186,887,0,16819.14,0.249,0.79,25,82.64,0
user_100187,583,0,11193.8,0.636,0.539,17,89.92,0
user_100188,921,1,6087.45,0.273,0.961,32,112.48,0
user_100189,490,0,4883.33,0.634,0.719,36,60.29,0
user_100190,720,1,8219.09,0.734,0.484,16,136.39,0
user_100191,604,0,37906.51,0.479,0.581,13,52.09,0
user_100192,893,0,23029.44,0.653,0.362,10,83.63,0
user_100193,772,0,35255.72,0.245,0.482,23,98.19,0
user_100194,270,0,29734.38,0.167,0.59,10,290.94,0
user_100195,593,0,11211.78,0.476,0.586,18,144.35,0
user_100196,125,0,13339.47,0.37,0.959,20,147.6,0
user_100197,929,0,4787.46,0.368,0.984,35,30.45,0
user_100198,763,1,21141.28,0.146,0.507,19,51.78,0
user_100199,514,0,10221.39,0.753,0.578,11,87.19,0
user_100200,436,1,4637.98,0.131,0.949,18,46.29,0
user_100201,260,0,3503.19,0.269,0.484,41,172.51,0
user_100202,778,2,19867.57,0.404,0.515,14,84.23,0
user_100203,684,0,11872.58,0.607,0.687,20,65.48,0
user_100204,200,0,2135.54,0.521,0.377,11,173.28,0
user_100205,570,0,28103.08,0.104,0.848,14,260.33,0
user_100206,65,0,16492.55,0.084,0.916,17,26.96,0
user_100207,554,0,2586.98,0.478,0.586,31,89.42,0
user_100208,189,0,7450.85,0.059,0.871,15,119.74,0
user_100209,868,0,21223.92,0.473,0.773,12,123.14,0
user_100210,728,0,2912.66,0.187,0.567,54,78.35,0
user_100211,272,0,21991.45,0.193,0.607,24,79.79,0
user_100212,115,0,12544.79,0.184,0.9,24,85.87,0
user_100213,825,0,24908.02,0.631,0.35,14,83.66,0
user_100214,607,0,30989.85,0.405,0.873,24,70.01,0
user_100215,711,0,23899.66,0.21,0.777,13,83.64,0
user_100216,586,0,3219.37,0.097,0.711,25,39.91,0
user_100217,603,0,11253.17,0.383,0.342,19,92.88,0
user_100218,982,0,7757.07,0.447,0.844,22,100.81,0
user_100219,675,0,12654.17,0.495,0.635,22,68.68,0
user_100220,825,0,52633.79,0.115,0.649,5,96.61,0
user_100221,57,0,3992.62,0.331,0.438,45,83.56,0
user_100222,649,0,32103.83,0.309,0.814,7,220.69,0
user_100223,585,0,72415.16,0.297,0.915,29,93.92,0
user_100224,369,0,71110.56,0.716,0.784,19,105.58,0
user_100225,827,0,25895.3,0.322,0.422,20,56.22,0
user_100226,987,1,11398.61,0.528,0.655,19,93.14,0
user_100227,360,0,4940.23,0.712,0.702,36,122.91,0
user_100228,669,0,16055.56,0.054,0.808,11,151.1,0
user_100229,535,0,16138.47,0.606,0.833,29,92.13,0
user_100230,377,0,7706.49,0.538,0.933,26,95.11,0
user_100231,502,0,16388.84,0.733,0.907,15,74.21,0
user_100232,260,0,3858.76,0.391,0.604,15,175.33,0
user_100233,219,0,17077.17,0.768,0.766,24,88.9,0
user_100234,254,1,36055.02,0.399,0.85,23,107.42,0
user_100235,414,2,11581.74,0.099,0.924,23,47.44,0
user_100236,406,0,23694.68,0.625,0.666,9,151.77,0
user_100237,312,0,17144.22,0.068,0.319,33,72.47,0
user_100238,987,0,2046.03,0.775,0.621,25,107.93,0
user_100239,662,0,3951.6,0.05,0.74,16,96.24,0
user_100240,657,0,24363.85,0.578,0.716,14,38.02,0
user_100241,774,0,2619.41,0.128,0.695,17,57.55,0
user_100242,288,2,48938.15,0.428,0.634,9,64.6,0
user_100243,388,1,35675.52,0.141,0.731,4,119.94,0
user_100244,739,0,8750.07,0.48,0.906,22,138.44,0
user_100245,485,0,7574.3,0.469,0.629,28,136.9,0
user_100246,440,0,16237.32,0.101,0.355,35,112.65,0
user_100247,678,0,16193.23,0.16,0.307,13,52.64,0
user_100248,347,0,3398.73,0.585,0.957,25,174.73,0
user_100249,706,0,5638.44,0.549,0.541,30,32.94,0
user_100250,254,0,17178.26,0.268,0.605,37,62.0,0
user_100251,848,0,26199.47,0.187,0.751,32,152.64,0
user_100252,263,0,5197.94,0.557,0.692,14,34.65,0
user_100253,713,1,20156.52,0.453,0.559,15,61.82,0
user_100254,693,0,32658.25,0.239,0.523,11,95.38,0
user_100255,856,0,3880.13,0.784,0.884,15,66.86,0
user_100256,403,0,10673.28,0.334,0.753,31,58.27,0
user_100257,701,0,30512.46,0.565,0.844,33,14.1,0
user_100258,637,1,8945.47,0.713,0.9,17,104.12,0
user_100259,501,0,6709.51,0.765,0.773,19,208.62,0
user_100260,262,2,22533.58,0.722,0.523,17,395.89,0
user_100261,721,0,9681.84,0.494,0.575,17,99.11,0
user_100262,142,0,20378.55,0.207,0.744,11,36.32,0
user_100263,859,0,4026.84,0.745,0.504,25,84.44,0
user_100264,526,0,14095.1,0.783,0.816,36,141.08,0
user_100265,471,0,9157.5,0.055,0.674,18,57.73,0
user_100266,593,1,90745.7,0.733,0.597,10,122.69,0
user_100267,297,0,15424.96,0.715,0.546,36,148.31,0
user_100268,539,0,19193.36,0.388,0.893,9,62.25,0
user_100269,836,0,4106.79,0.646,0.697,14,113.05,0
user_100270,415,0,74367.1,0.762,0.384,18,112.75,0
user_100271,416,0,2791.59,0.282,0.698,6,130.19,0
user_100272,142,2,3102.06,0.403,0.661,6,37.63,0
user_100273,642,0,3181.35,0.155,0.574,25,46.7,0
user_100274,654,2,32672.78,0.269,0.756,30,86.05,0
user_100275,981,0,21561.83,0.713,0.581,18,66.02,0
user_100276,110,0,56208.22,0.185,0.601,20,53.2,0
user_100277,728,0,3033.18,0.757,0.508,24,78.59,0
user_100278,142,0,19649.04,0.469,0.757,32,62.56,0
user_100279,31,0,13430.04,0.578,0.611,12,88.66,0
user_100280,671,0,17288.82,0.345,0.763,24,79.17,0
user_100281,249,0,12789.79,0.226,0.457,43,59.76,0
user_100282,595,0,18874.97,0.412,0.859,28,127.29,0
user_100283,884,0,37636.87,0.279,0.683,21,74.43,0
user_100284,765,0,15281.84,0.44,0.89,8,130.78,0
user_100285,254,0,36010.57,0.125,0.765,30,28.2,0
user_100286,414,3,24860.08,0.738,0.672,13,103.94,0
user_100287,432,0,32028.77,0.256,0.57,41,119.51,0
user_100288,667,0,18149.13,0.526,0.783,32,77.88,0
user_100289,159,0,12966.03,0.536,0.971,32,37.43,0
user_100290,82,0,3081.37,0.238,0.286,20,164.67,0
user_100291,713,0,29018.28,0.798,0.746,12,37.67,0
user_100292,759,0,6156.29,0.413,0.548,15,80.41,0
user_100293,701,0,2560.25,0.616,0.719,11,42.54,0
user_100294,739,0,12980.54,0.074,0.976,19,90.62,0
user_100295,445,0,17016.12,0.223,0.435,48,46.74,0
user_100296,276,0,18263.16,0.129,0.75,16,69.65,0
user_100297,865,0,18617.03,0.311,0.651,18,130.16,0
user_100298,468,0,17907.72,0.608,0.457,38,63.94,0
user_100299,232,0,26768.92,0.156,0.869,22,70.09,0
user_100300,213,0,24003.56,0.36,0.763,17,117.8,0
user_100301,152,0,27136.39,0.197,0.817,8,214.04,0
user_100302,430,0,11250.08,0.22,0.209,28,56.88,0
user_100303,796,0,2973.18,0.087,0.832,27,202.52,0
user_100304,323,0,17307.12,0.431,0.786,20,74.85,0
user_100305,309,0,5539.91,0.175,0.649,17,92.51,0
user_100306,866,0,31440.52,0.281,0.841,22,53.14,0
user_100307,913,0,21183.99,0.318,0.902,30,148.38,0
user_100308,639,0,23778.17,0.221,0.343,45,72.47,0
user_100309,227,0,7061.96,0.409,0.663,5,46.92,0
user_100310,936,0,17038.11,0.116,0.974,10,136.48,0
user_100311,540,1,13264.31,0.58,0.802,22,171.48,0
user_100312,781,0,6688.88,0.269,0.606,11,153.66,0
user_100313,173,0,27087.71,0.434,0.957,38,93.15,0
user_100314,638,0,13976.23,0.136,0.745,24,148.5,0
user_100315,230,0,5175.42,0.069,0.811,19,87.26,0
user_100316,153,0,7462.99,0.312,0.673,16,143.52,0
user_100317,216,0,5864.23,0.555,0.871,3,97.74,0
user_100318,355,0,7618.22,0.387,0.686,8,80.14,0
user_100319,493,0,5126.95,0.581,0.756,12,98.97,0
user_100320,378,1,8957.67,0.541,0.809,21,61.34,0
user_100321,800,1,19761.73,0.583,0.914,18,78.99,0
user_100322,689,0,50022.7,0.69,0.593,37,73.94,0
user_100323,793,0,5546.02,0.252,0.598,21,66.08,0
user_100324,984,0,7346.47,0.055,0.653,17,104.26,0
user_100325,961,0,2032.34,0.087,0.659,26,66.17,0
user_100326,432,0,5829.28,0.214,0.672,24,84.63,0
user_100327,375,0,10130.92,0.133,0.571,25,65.65,0
user_100328,992,0,11291.13,0.264,0.361,29,117.46,0
user_100329,540,2,6645.47,0.502,0.747,15,27.38,0
user_100330,176,0,4443.48,0.625,0.879,19,87.56,0
user_100331,177,0,14419.72,0.167,0.94,19,83.08,0
user_100332,893,0,9893.89,0.481,0.587,17,50.09,0
user_100333,740,0,10333.84,0.723,0.961,40,57.0,0
user_100334,849,0,35804.15,0.607,0.784,20,112.16,0
user_100335,518,0,14363.98,0.166,0.813,13,96.93,0
user_100336,958,2,9373.67,0.532,0.631,16,102.09,0
user_100337,965,0,6391.22,0.409,0.477,15,92.78,0
user_100338,669,0,10394.93,0.238,0.957,18,158.68,0
user_100339,580,0,31693.23,0.446,0.875,29,95.44,0
user_100340,367,0,52329.05,0.171,0.585,25,97.22,0
user_100341,901,0,9103.69,0.287,0.661,16,62.08,0
user_100342,670,0,5516.52,0.319,0.699,21,50.28,0
user_100343,808,0,38892.03,0.302,0.687,26,50.92,0
user_100344,982,0,4339.93,0.119,0.694,13,98.61,0
user_100345,502,0,7294.2,0.361,0.529,14,124.12,0
user_100346,975,0,5425.09,0.682,0.819,46,158.2,0
user_100347,180,2,14514.77,0.679,0.667,11,252.59,0
user_100348,444,0,9879.98,0.366,0.924,21,166.77,0
user_100349,327,0,7077.61,0.059,0.941,42,46.54,0
user_100350,640,0,23910.62,0.485,0.84,7,87.8,0
user_100351,292,0,18364.87,0.497,0.644,11,488.18,0
user_100352,793,0,83093.47,0.692,0.748,19,66.04,0
user_100353,173,0,7609.24,0.679,0.658,21,74.27,0
user_100354,375,0,29992.18,0.631,0.865,16,54.92,0
user_100355,653,0,7403.95,0.693,0.753,18,168.48,0
user_100356,601,0,2136.18,0.237,0.772,27,159.01,0
user_100357,910,0,4453.63,0.475,0.84,21,71.95,0
user_100358,31,0,12653.5,0.75,0.482,31,129.68,0
user_100359,926,0,26911.71,0.448,0.718,31,56.43,0
user_100360,333,0,2886.9,0.717,0.786,29,29.61,0
user_100361,283,0,28758.17,0.73,0.66,7,66.0,0
user_100362,681,1,20885.65,0.103,0.8,24,79.09,0
user_100363,482,1,2526.93,0.737,0.366,22,83.7,0
user_100364,66,0,3685.71,0.126,0.6,36,86.88,0
user_100365,189,0,3179.64,0.352,0.629,7,183.92,0
user_100366,38,0,19044.39,0.614,0.888,47,57.16,0
user_100367,262,0,14349.85,0.103,0.595,16,265.34,0
user_100368,128,0,8667.57,0.347,0.852,35,75.83,0
user_100369,688,0,3386.85,0.226,0.705,29,135.7,0
user_100370,845,0,9487.94,0.579,0.559,37,36.56,0
user_100371,237,0,19193.72,0.702,0.755,8,367.53,0
user_100372,160,1,3471.0,0.626,0.991,21,126.8,0
user_100373,433,0,31130.19,0.462,0.889,28,56.26,0
user_100374,181,0,2974.62,0.683,0.385,7,142.26,0
user_100375,83,0,16054.82,0.692,0.653,15,110.11,0
user_100376,149,0,5145.04,0.422,0.58,34,64.53,0
user_100377,702,1,3441.71,0.691,0.828,14,111.06,0
user_100378,949,0,8576.91,0.719,0.736,11,58.28,0
user_100379,657,0,18490.95,0.056,0.88,21,242.77,0
user_100380,616,0,3935.46,0.71,0.497,13,96.58,0
user_100381,654,0,11685.29,0.092,0.726,25,198.74,0
user_100382,997,0,9815.84,0.274,0.698,24,44.06,0
user_100383,449,0,10364.94,0.466,0.852,17,49.47,0
user_100384,451,0,45080.63,0.233,0.788,27,143.09,0
user_100385,133,0,8439.37,0.707,0.727,16,55.02,0
user_100386,881,0,73744.56,0.641,0.533,9,125.73,0
user_100387,283,0,13595.56,0.413,0.887,34,49.38,0
user_100388,256,0,29723.13,0.678,0.695,21,169.9,0
user_100389,141,0,8435.56,0.663,0.923,13,66.44,0
user_100390,539,0,3328.76,0.297,0.605,40,192.09,0
user_100391,502,0,3322.7,0.098,0.723,16,140.25,0
user_100392,128,0,14805.0,0.494,0.697,18,166.25,0
user_100393,182,0,41870.87,0.639,0.528,10,66.41,0
user_100394,890,0,3108.26,0.745,0.668,26,48.09,0
user_100395,943,0,19525.09,0.078,0.888,18,223.89,0
user_100396,925,0,14425.95,0.353,0.888,24,78.86,0
user_100397,907,0,17844.1,0.563,0.606,23,76.71,0
user_100398,367,3,5641.41,0.393,0.826,18,44.66,0
user_100399,735,0,3096.76,0.218,0.728,26,85.07,0
user_100400,851,0,3165.02,0.496,0.629,9,131.9,0
user_100401,192,0,6249.87,0.708,0.643,42,78.17,0
user_100402,749,3,5605.09,0.758,0.606,26,121.76,0
user_100403,986,0,4026.26,0.795,0.76,12,216.15,0
user_100404,710,1,6611.8,0.338,0.731,27,79.9,0
user_100405,190,2,13452.7,0.202,0.587,19,44.32,0
user_100406,609,0,46790.83,0.655,0.794,5,45.9,0
user_100407,830,0,40317.47,0.566,0.749,11,88.34,0
user_100408,427,0,6755.91,0.615,0.858,13,93.11,0
user_100409,306,0,3027.55,0.323,0.873,22,36.32,0
user_100410,845,0,83507.21,0.217,0.74,8,49.55,0
user_100411,945,0,11705.65,0.634,0.872,14,185.98,0
user_100412,533,0,59457.37,0.384,0.635,16,71.94,0
user_100413,925,0,13571.24,0.566,0.701,12,33.44,0
user_100414,421,0,34620.9,0.704,0.887,9,81.23,0
user_100415,164,0,10891.95,0.308,0.657,21,214.4,0
user_100416,224,0,16593.83,0.626,0.429,23,44.72,0
user_100417,430,0,13509.67,0.39,0.652,21,127.33,0
user_100418,669,0,5724.56,0.514,0.686,14,40.86,0
user_100419,62,0,23646.04,0.671,0.747,7,119.79,0
user_100420,717,0,2845.47,0.274,0.892,23,149.25,0
user_100421,489,0,8750.94,0.679,0.859,14,107.58,0
user_100422,984,1,32592.09,0.204,0.595,45,76.6,0
user_100423,912,0,12477.94,0.367,0.89,11,210.55,0
user_100424,499,0,3212.38,0.257,0.256,16,52.99,0
user_100425,404,0,5489.01,0.062,0.814,11,90.06,0
user_100426,51,0,3741.93,0.059,0.62,27,83.72,0
user_100427,779,0,6878.34,0.196,0.809,8,147.28,0
user_100428,699,3,4710.46,0.535,0.941,17,124.69,0
user_100429,67,0,20669.36,0.444,0.367,10,320.18,0
user_100430,259,1,18156.86,0.289,0.862,21,33.79,0
user_100431,394,3,4176.75,0.383,0.879,13,116.18,0
user_100432,592,0,10831.56,0.557,0.803,22,150.81,0
user_100433,467,0,7261.28,0.717,0.639,16,81.48,0
user_100434,805,0,8169.59,0.244,0.53,22,40.8,0
user_100435,312,0,14869.61,0.71,0.761,15,121.22,0
user_100436,56,0,36343.41,0.358,0.807,20,80.68,0
user_100437,255,0,36142.8,0.301,0.685,30,103.17,0
user_100438,306,0,9991.51,0.476,0.78,27,131.48,0
user_100439,827,0,9493.22,0.317,0.895,12,140.77,0
user_100440,638,0,12946.42,0.268,0.902,15,132.82,0
user_100441,313,0,11640.09,0.725,0.762,11,58.02,0
user_100442,908,1,2956.64,0.354,0.516,20,25.81,0
user_100443,989,0,14967.91,0.164,0.726,17,96.33,0
user_100444,510,0,15182.48,0.374,0.823,15,135.27,0
user_100445,482,0,10976.76,0.267,0.41,14,67.15,0
user_100446,858,0,10015.63,0.434,0.857,8,54.95,0
user_100447,845,1,43939.89,0.532,0.691,19,57.52,0
user_100448,688,0,15775.29,0.062,0.812,49,118.63,0
user_100449,545,0,27415.09,0.641,0.69,15,72.52,0
user_100450,576,0,48134.97,0.401,0.765,17,46.49,0
user_100451,221,0,26919.0,0.456,0.845,39,131.64,0
user_100452,78,0,44965.19,0.153,0.734,9,168.37,0
user_100453,541,0,23362.66,0.378,0.707,10,127.25,0
user_100454,46,0,4797.12,0.419,0.648,16,58.04,0
user_100455,201,0,5860.79,0.081,0.577,15,81.54,0
user_100456,249,0,5233.12,0.182,0.684,8,206.34,0
user_100457,187,0,7831.91,0.325,0.855,18,83.75,0
user_100458,506,0,8577.41,0.185,0.846,28,189.74,0
user_100459,75,0,27004.57,0.29,0.644,20,239.92,0
